"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 12 11:20:56 GMT 2026","Thu Mar 12 11:20:58 GMT 2026","1878","LMS system","Courses","Courses","","","Check displaying of dashboard page",""
"passed","Thu Mar 12 11:19:59 GMT 2026","Thu Mar 12 11:20:10 GMT 2026","10640","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Mar 12 11:20:26 GMT 2026","Thu Mar 12 11:20:28 GMT 2026","1591","LMS system","Authentication","Authorization","","","test_navigate_from_authorization_to_registration[chromium]",""
"passed","Thu Mar 12 11:19:59 GMT 2026","Thu Mar 12 11:20:01 GMT 2026","2028","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:21 GMT 2026","Thu Mar 12 11:20:24 GMT 2026","2175","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:38 GMT 2026","Thu Mar 12 11:20:42 GMT 2026","4028","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Mar 12 11:20:36 GMT 2026","Thu Mar 12 11:20:40 GMT 2026","4521","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Mar 12 11:20:25 GMT 2026","Thu Mar 12 11:20:26 GMT 2026","1259","LMS system","Authentication","Authorization","","","test_navigate_from_authorization_to_registration[webkit]",""
"passed","Thu Mar 12 11:20:32 GMT 2026","Thu Mar 12 11:20:35 GMT 2026","3357","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Mar 12 11:20:10 GMT 2026","Thu Mar 12 11:20:11 GMT 2026","1587","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:10 GMT 2026","Thu Mar 12 11:20:14 GMT 2026","3299","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Mar 12 11:20:50 GMT 2026","Thu Mar 12 11:20:52 GMT 2026","1578","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Mar 12 11:20:46 GMT 2026","Thu Mar 12 11:20:49 GMT 2026","2865","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Mar 12 11:20:30 GMT 2026","Thu Mar 12 11:20:33 GMT 2026","2183","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Mar 12 11:20:13 GMT 2026","Thu Mar 12 11:20:15 GMT 2026","2293","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:47 GMT 2026","Thu Mar 12 11:20:48 GMT 2026","1358","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Mar 12 11:20:25 GMT 2026","Thu Mar 12 11:20:27 GMT 2026","1833","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Mar 12 11:20:17 GMT 2026","Thu Mar 12 11:20:20 GMT 2026","2200","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:15 GMT 2026","Thu Mar 12 11:20:19 GMT 2026","3984","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Mar 12 11:20:50 GMT 2026","Thu Mar 12 11:20:52 GMT 2026","1948","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Mar 12 11:20:06 GMT 2026","Thu Mar 12 11:20:07 GMT 2026","1363","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:52 GMT 2026","Thu Mar 12 11:20:54 GMT 2026","1892","LMS system","Courses","Courses","","","Check displaying of dashboard page",""
"passed","Thu Mar 12 11:20:07 GMT 2026","Thu Mar 12 11:20:09 GMT 2026","1688","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:41 GMT 2026","Thu Mar 12 11:20:44 GMT 2026","2507","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Mar 12 11:20:43 GMT 2026","Thu Mar 12 11:20:46 GMT 2026","2757","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Mar 12 11:20:02 GMT 2026","Thu Mar 12 11:20:04 GMT 2026","1357","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:54 GMT 2026","Thu Mar 12 11:20:56 GMT 2026","1878","LMS system","Courses","Courses","","","Check displaying of dashboard page",""
"passed","Thu Mar 12 11:20:04 GMT 2026","Thu Mar 12 11:20:05 GMT 2026","1347","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Mar 12 11:20:22 GMT 2026","Thu Mar 12 11:20:24 GMT 2026","2029","LMS system","Authentication","Authorization","","","test_navigate_from_authorization_to_registration[firefox]",""
"passed","Thu Mar 12 11:20:27 GMT 2026","Thu Mar 12 11:20:29 GMT 2026","1568","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
